sub,priming,word,ifanimal,ifcorr,rt,exp_type,syl
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,mountain,FALSE,1,1.0418063,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,giraffe,TRUE,1,1.7348831,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,bicycle,FALSE,1,1.0626415,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,dolphin,TRUE,0,1.4546084,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,gorilla,TRUE,1,1.6909367,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,turkey,TRUE,1,1.3937094,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,carrot,FALSE,0,1.6164781,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,giraffe,TRUE,1,1.7591608,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,bicycle,FALSE,1,1.0253461,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,mosquito,TRUE,1,1.5230926,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,medicine,FALSE,1,1.239984,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,mountain,FALSE,1,0.9413221,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,tomato,FALSE,0,1.2159123,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,rubbish,FALSE,0,1.6214805,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,gorilla,TRUE,1,1.9430253,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,dinosaur,TRUE,1,1.7282148,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,onion,FALSE,1,1.3299323,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,coffee,FALSE,1,1.6994914,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,donkey,TRUE,1,1.5579541,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,dolphin,TRUE,0,1.7648981,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,gravity,FALSE,1,1.6665142,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,pencil,FALSE,1,1.0017721,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,mosquito,TRUE,1,1.0737674,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,sunshine,FALSE,1,1.1289699,exp1,2
