rt,acc,subject,word,priming_effect,speech_isochrony,syllable_number
1734.8831,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,giraffe,inconsistent,original,disyllabic
1454.6083999999998,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,dolphin,inconsistent,original,disyllabic
1690.9367,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,gorilla,inconsistent,original,trisyllabic
1393.7094000000002,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,turkey,consistent,original,disyllabic
1759.1608,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,giraffe,consistent,original,disyllabic
1523.0926,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,mosquito,consistent,original,trisyllabic
1943.0253,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,gorilla,consistent,original,trisyllabic
1728.2148,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,dinosaur,consistent,original,trisyllabic
1557.9541,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,donkey,consistent,original,disyllabic
1764.8980999999999,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,dolphin,consistent,original,disyllabic
1073.7674,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,mosquito,inconsistent,original,trisyllabic
1554.8691,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,antelope,consistent,original,trisyllabic
1143.7984000000001,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,penguin,consistent,original,disyllabic
1335.1961999999999,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,jellyfish,consistent,original,trisyllabic
1277.9,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,donkey,inconsistent,original,disyllabic
1068.0285000000001,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,parrot,inconsistent,original,disyllabic
949.6998,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,dinosaur,inconsistent,original,trisyllabic
1226.0228,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,antelope,inconsistent,original,trisyllabic
1112.1464,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,monkey,consistent,original,disyllabic
1398.5774,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,lyrebird,consistent,original,trisyllabic
955.502,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,elephant,inconsistent,original,trisyllabic
958.0212,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,goldfish,consistent,original,disyllabic
1213.2415,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,ladybug,inconsistent,original,trisyllabic
1152.9567,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,jellyfish,inconsistent,original,trisyllabic
1208.7222,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,lyrebird,inconsistent,original,trisyllabic
1041.3835,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,ladybug,consistent,original,trisyllabic
1445.9655,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,kangaroo,consistent,original,trisyllabic
806.3168,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,monkey,inconsistent,original,disyllabic
866.2417,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,penguin,inconsistent,original,disyllabic
1243.5707,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,pigeon,inconsistent,original,disyllabic
991.0807000000001,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,parrot,consistent,original,disyllabic
1280.778,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,lionfish,inconsistent,original,trisyllabic
1832.0028,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,turtle,consistent,original,disyllabic
807.8326,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,elephant,consistent,original,trisyllabic
1421.0913999999998,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,canary,consistent,original,trisyllabic
1741.0497,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,spider,consistent,original,disyllabic
977.6336,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,spider,inconsistent,original,disyllabic
1552.4798,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,octopus,consistent,original,trisyllabic
1135.7331,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,seahorse,consistent,original,disyllabic
739.3290999999999,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,seahorse,inconsistent,original,disyllabic
837.1796,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,turkey,inconsistent,original,disyllabic
1010.2913,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,kangaroo,inconsistent,original,trisyllabic
1065.1408,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,turtle,inconsistent,original,disyllabic
1354.8202,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,canary,inconsistent,original,trisyllabic
1640.8659,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,pigeon,consistent,original,disyllabic
1141.0629000000001,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,goldfish,inconsistent,original,disyllabic
1599.3261,0,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,octopus,inconsistent,original,trisyllabic
1322.6026,1,312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,lionfish,consistent,original,trisyllabic
1389.5044,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,penguin,consistent,original,disyllabic
1074.3763,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,penguin,inconsistent,original,disyllabic
1609.0171,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,donkey,consistent,original,disyllabic
2227.7336,0,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,antelope,consistent,original,trisyllabic
2130.4269,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,goldfish,consistent,original,disyllabic
1382.6639,0,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,canary,consistent,original,trisyllabic
1284.2177,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,spider,inconsistent,original,disyllabic
1696.5762,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,jellyfish,consistent,original,trisyllabic
1354.1887,0,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,antelope,inconsistent,original,trisyllabic
1198.5414,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,goldfish,inconsistent,original,disyllabic
1804.3901,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,mosquito,consistent,original,trisyllabic
1405.5531999999998,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,seahorse,consistent,original,disyllabic
1274.1239,0,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,canary,inconsistent,original,trisyllabic
2067.1407,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,lyrebird,inconsistent,original,trisyllabic
2017.1910999999998,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,dolphin,inconsistent,original,disyllabic
1740.8748,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,lionfish,inconsistent,original,trisyllabic
1952.992,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,dolphin,consistent,original,disyllabic
1519.7359,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,jellyfish,inconsistent,original,trisyllabic
1795.4233,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,gorilla,consistent,original,trisyllabic
1859.6667,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,lyrebird,consistent,original,trisyllabic
1512.9944,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,parrot,inconsistent,original,disyllabic
1799.2117,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,monkey,inconsistent,original,disyllabic
1926.2077,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,pigeon,inconsistent,original,disyllabic
1243.6997000000001,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,mosquito,inconsistent,original,trisyllabic
1599.9628,0,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,turtle,consistent,original,disyllabic
1357.0234,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,dinosaur,inconsistent,original,trisyllabic
1252.4416,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,elephant,consistent,original,trisyllabic
2213.4124,0,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,ladybug,consistent,original,trisyllabic
1343.8611,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,octopus,inconsistent,original,trisyllabic
1012.7888,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,giraffe,inconsistent,original,disyllabic
1558.9987,0,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,turtle,inconsistent,original,disyllabic
1572.5833,1,312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,parrot,consistent,original,disyllabic
