subject,proficiency,word_type,word,acc,rt,version,data
subject_1,low,non_word,pxzb,1,595.399501307733,2023.2.3,20251002
subject_1,low,true_word,plant,0,406.84168965082597,2023.2.3,20251002
subject_1,low,true_word,smile,0,434.9358084049134,2023.2.3,20251002
subject_1,low,non_word,qrn,1,563.2482194264919,2023.2.3,20251002
subject_1,low,pseudoword,glorp,1,495.91302210519314,2023.2.3,20251002
subject_1,low,pseudoword,stroof,1,500.80049819098343,2023.2.3,20251002
subject_1,low,pseudoword,plenimate,1,486.73613084917315,2023.2.3,20251002
subject_1,low,true_word,river,1,424.3835910415521,2023.2.3,20251002
subject_1,low,non_word,xzjhx,0,582.0556441078043,2023.2.3,20251002
subject_1,low,true_word,music,1,421.77181607774514,2023.2.3,20251002
subject_1,low,non_word,zmdd,0,573.9331503023503,2023.2.3,20251002
subject_1,low,true_word,table,1,423.3904656728856,2023.2.3,20251002
subject_1,low,non_word,xzjhx,1,587.1706592048982,2023.2.3,20251002
subject_1,low,non_word,qhxfs,1,570.1004378522288,2023.2.3,20251002
subject_1,low,non_word,krsf,1,560.3987404477838,2023.2.3,20251002
subject_1,low,non_word,krsf,1,589.9141838355638,2023.2.3,20251002
subject_1,low,non_word,zmdd,1,572.6894906514206,2023.2.3,20251002
subject_1,low,true_word,cloud,1,428.11608044962566,2023.2.3,20251002
subject_1,low,true_word,smile,1,422.3492507929905,2023.2.3,20251002
subject_1,low,non_word,xkrskm,1,570.3219886250206,2023.2.3,20251002
subject_1,low,pseudoword,glorp,1,503.4486184239254,2023.2.3,20251002
subject_1,low,pseudoword,squank,1,510.8910595680284,2023.2.3,20251002
subject_1,low,non_word,txp,1,571.1252268121524,2023.2.3,20251002
subject_1,low,pseudoword,plenimate,1,493.3177706992654,2023.2.3,20251002
subject_1,low,non_word,tdytt,1,569.2085389267648,2023.2.3,20251002
subject_1,low,true_word,chair,1,421.1091609260821,2023.2.3,20251002
subject_1,low,true_word,chair,1,439.1023162649411,2023.2.3,20251002
subject_1,low,non_word,tdytt,1,561.837710749529,2023.2.3,20251002
subject_1,low,true_word,bread,1,413.01657812823635,2023.2.3,20251002
subject_1,low,true_word,apple,1,428.63326840556647,2023.2.3,20251002
subject_1,low,true_word,river,1,424.3199045536559,2023.2.3,20251002
subject_1,low,true_word,table,1,407.13617026224205,2023.2.3,20251002
subject_1,low,true_word,plant,1,424.1336808590234,2023.2.3,20251002
subject_1,low,pseudoword,clembid,1,518.3195609121611,2023.2.3,20251002
subject_1,low,pseudoword,drangle,1,499.9805869765737,2023.2.3,20251002
subject_1,low,pseudoword,squank,1,499.99171007306774,2023.2.3,20251002
subject_1,low,true_word,bread,0,400.0106094956299,2023.2.3,20251002
subject_1,low,non_word,txp,1,574.184929802512,2023.2.3,20251002
subject_1,low,pseudoword,noment,1,486.9696187059818,2023.2.3,20251002
subject_1,low,non_word,xkrskm,1,590.8851296554817,2023.2.3,20251002
subject_1,low,non_word,qhxfs,1,575.8367107495604,2023.2.3,20251002
subject_1,low,pseudoword,tremion,1,505.42571633353316,2023.2.3,20251002
subject_1,low,pseudoword,clembid,1,506.36621023871385,2023.2.3,20251002
subject_1,low,true_word,house,1,414.7192589745917,2023.2.3,20251002
subject_1,low,pseudoword,sprentle,1,515.861935217183,2023.2.3,20251002
subject_1,low,pseudoword,flicket,1,507.8183690965669,2023.2.3,20251002
subject_1,low,true_word,cloud,1,405.8165481093086,2023.2.3,20251002
subject_1,low,pseudoword,sprentle,1,495.7468228699465,2023.2.3,20251002
subject_1,low,non_word,qrn,1,587.1428148423864,2023.2.3,20251002
subject_1,low,pseudoword,flicket,1,487.6292831405816,2023.2.3,20251002
subject_1,low,pseudoword,drangle,1,493.82535807293607,2023.2.3,20251002
subject_1,low,true_word,house,1,438.58718663834975,2023.2.3,20251002
subject_1,low,true_word,apple,0,427.08743488687367,2023.2.3,20251002
subject_1,low,pseudoword,noment,1,485.44109597507,2023.2.3,20251002
subject_1,low,true_word,music,1,412.46183337403687,2023.2.3,20251002
subject_1,low,pseudoword,tremion,1,489.75813346845933,2023.2.3,20251002
subject_1,low,non_word,xtfbf,0,573.0151401318392,2023.2.3,20251002
subject_1,low,non_word,pxzb,1,590.2203824154697,2023.2.3,20251002
subject_1,low,non_word,xtfbf,0,572.3500373070458,2023.2.3,20251002
subject_1,low,pseudoword,stroof,0,515.9479708708741,2023.2.3,20251002
subject_2,high,pseudoword,plenimate,1,257.1791891572781,2023.2.3,20251002
subject_2,high,true_word,bread,1,160.50434311168834,2023.2.3,20251002
subject_2,high,pseudoword,sprentle,1,262.91969730900195,2023.2.3,20251002
subject_2,high,true_word,plant,1,179.70732426458395,2023.2.3,20251002
subject_2,high,pseudoword,tremion,0,274.5439955913943,2023.2.3,20251002
subject_2,high,true_word,chair,1,189.76856078555568,2023.2.3,20251002
subject_2,high,pseudoword,stroof,1,261.7936853872706,2023.2.3,20251002
subject_2,high,true_word,bread,1,179.18375529624512,2023.2.3,20251002
subject_2,high,pseudoword,flicket,1,271.42513119507726,2023.2.3,20251002
subject_2,high,true_word,river,1,173.36928937233517,2023.2.3,20251002
subject_2,high,true_word,table,1,174.60064708922783,2023.2.3,20251002
subject_2,high,true_word,music,1,171.08871632134503,2023.2.3,20251002
subject_2,high,true_word,smile,1,174.13669274762375,2023.2.3,20251002
subject_2,high,non_word,pxzb,1,340.9920869255812,2023.2.3,20251002
subject_2,high,pseudoword,drangle,1,254.83194085145507,2023.2.3,20251002
subject_2,high,pseudoword,squank,0,243.14327659380055,2023.2.3,20251002
subject_2,high,true_word,apple,1,170.84717913118186,2023.2.3,20251002
subject_2,high,pseudoword,squank,1,241.0951438669904,2023.2.3,20251002
subject_2,high,true_word,music,1,184.85801606239247,2023.2.3,20251002
subject_2,high,non_word,xzjhx,1,321.0657281396226,2023.2.3,20251002
subject_2,high,non_word,txp,1,357.84446883192425,2023.2.3,20251002
subject_2,high,non_word,xkrskm,1,322.40512900117676,2023.2.3,20251002
subject_2,high,true_word,smile,1,178.67189773897496,2023.2.3,20251002
subject_2,high,non_word,tdytt,1,352.34987126614686,2023.2.3,20251002
subject_2,high,pseudoword,glorp,1,272.1468148877735,2023.2.3,20251002
subject_2,high,non_word,xtfbf,1,341.93546755958175,2023.2.3,20251002
subject_2,high,non_word,xzjhx,1,358.8679605118981,2023.2.3,20251002
subject_2,high,non_word,qhxfs,0,355.12244889562373,2023.2.3,20251002
subject_2,high,non_word,krsf,1,336.3295702857669,2023.2.3,20251002
subject_2,high,non_word,krsf,0,327.7923184892515,2023.2.3,20251002
subject_2,high,non_word,zmdd,1,321.8743873938545,2023.2.3,20251002
subject_2,high,non_word,zmdd,1,342.2890850182812,2023.2.3,20251002
subject_2,high,non_word,pxzb,1,357.9641572728959,2023.2.3,20251002
subject_2,high,true_word,cloud,1,198.546997280921,2023.2.3,20251002
subject_2,high,true_word,house,1,187.86658334912633,2023.2.3,20251002
subject_2,high,pseudoword,glorp,1,269.86452452155777,2023.2.3,20251002
subject_2,high,true_word,chair,1,191.8321900933324,2023.2.3,20251002
subject_2,high,pseudoword,noment,1,255.78040441343734,2023.2.3,20251002
subject_2,high,non_word,qrn,1,331.4998861786595,2023.2.3,20251002
subject_2,high,pseudoword,clembid,1,253.1190649663768,2023.2.3,20251002
subject_2,high,true_word,river,1,171.20398158464982,2023.2.3,20251002
subject_2,high,true_word,apple,1,189.93505838103246,2023.2.3,20251002
subject_2,high,pseudoword,tremion,1,263.2031163210077,2023.2.3,20251002
subject_2,high,pseudoword,stroof,1,275.98466561947106,2023.2.3,20251002
subject_2,high,pseudoword,clembid,1,257.67532693465216,2023.2.3,20251002
subject_2,high,non_word,qhxfs,1,350.65703055009743,2023.2.3,20251002
subject_2,high,non_word,xtfbf,0,332.15202689591405,2023.2.3,20251002
subject_2,high,pseudoword,drangle,1,242.10986246084803,2023.2.3,20251002
subject_2,high,pseudoword,sprentle,0,244.71839051671662,2023.2.3,20251002
subject_2,high,pseudoword,flicket,1,262.91148133684584,2023.2.3,20251002
